query_id,question,complete_answer_at_3,complete_answer_at_10,fact_recall_at_3,fact_recall_at_10,complete_answer_rank,failure_category,explanation
GE-001,How long is the probation period legally capped at in Kenya?,False,True,0.6667,1.0,0,MULTI_CHUNK_EVIDENCE_FAILURE,"All facts exist in the corpus across multiple chunks, but top-3 only fetched a partial subset of chunks."
GE-002,What are the statutory deductions on a Kenyan payslip?,True,True,1.0,1.0,1,SUCCESS,Complete answer achieved in top-3.
GE-003,Can my employer terminate me without notice during probation?,True,True,1.0,1.0,1,SUCCESS,Complete answer achieved in top-3.
GE-004,What is the minimum wage in Kenya for someone working in Nairobi?,False,False,0.6667,0.6667,0,CHUNK_BOUNDARY_FAILURE,Required facts are split across chunk boundaries (e.g. adjacent clauses).
GE-005,What rights do I have if my employer hasn't given me a written contract after 3 months?,False,False,0.6667,0.6667,0,CHUNK_BOUNDARY_FAILURE,Required facts are split across chunk boundaries (e.g. adjacent clauses).
GE-006,Is it true that an employer in Kenya can dock my pay for being late?,False,False,0.3333,0.6667,0,CHUNK_BOUNDARY_FAILURE,Required facts are split across chunk boundaries (e.g. adjacent clauses).
GE-007,What is the maximum number of working hours per week in Kenya?,False,False,0.0,0.6667,0,QUERY_FORMULATION_FAILURE,Query terminology mapping requires further expansion.
GE-008,What leave entitlements do I have in my first year of employment?,True,True,1.0,1.0,1,SUCCESS,Complete answer achieved in top-3.
GE-009,What should I check before signing an employment contract?,False,True,0.3333,1.0,0,MULTI_CHUNK_EVIDENCE_FAILURE,"All facts exist in the corpus across multiple chunks, but top-3 only fetched a partial subset of chunks."
GE-010,Tell me about the rules around being let go from work in Kenya,False,False,0.6667,0.6667,0,CHUNK_BOUNDARY_FAILURE,Required facts are split across chunk boundaries (e.g. adjacent clauses).
GE-011,What does Section 42 of the Employment Act say?,False,False,0.0,0.3333,0,QUERY_FORMULATION_FAILURE,Query terminology mapping requires further expansion.
GE-012,How do I write a good CV for a bank job in Kenya?,False,False,0.0,0.0,0,CORPUS_GAP,Required facts do not exist in retrieved top-10 chunks.
GE-013,What government programs help young people find jobs in Kenya?,False,False,0.0,0.3333,0,QUERY_FORMULATION_FAILURE,Query terminology mapping requires further expansion.
GE-014,What are common signs that a job might not be real?,True,True,1.0,1.0,1,SUCCESS,Complete answer achieved in top-3.
GE-015,"A recruiter asked me to send KES 3,000 via M-Pesa for a training kit before I start. Is this normal?",False,True,0.3333,1.0,0,MULTI_CHUNK_EVIDENCE_FAILURE,"All facts exist in the corpus across multiple chunks, but top-3 only fetched a partial subset of chunks."
GE-016,"I found a data entry job paying KES 120,000 per month with no experience needed. Should I apply?",False,False,0.0,0.0,0,CORPUS_GAP,Required facts do not exist in retrieved top-10 chunks.
GE-017,My employer hasn't paid me for 2 months. Can I take them to court?,False,False,0.0,0.5,0,QUERY_FORMULATION_FAILURE,Query terminology mapping requires further expansion.
GE-018,My boss keeps making comments about my appearance. What should I do?,False,False,0.0,0.0,0,CORPUS_GAP,Required facts do not exist in retrieved top-10 chunks.
GE-019,Is it safe to share my national ID copy with a recruiter I found on Facebook?,False,False,0.0,0.0,0,CORPUS_GAP,Required facts do not exist in retrieved top-10 chunks.
GE-020,"A company wants me to buy products worth KES 5,000 and resell them to friends to earn commission. Is this a real job?",False,False,0.0,0.5,0,QUERY_FORMULATION_FAILURE,Query terminology mapping requires further expansion.
GE-027,What happens if I refuse the extension?,False,False,0.0,0.0,0,CORPUS_GAP,Required facts do not exist in retrieved top-10 chunks.
GE-030,Is that the same for private sector companies?,False,False,0.0,0.0,0,CORPUS_GAP,Required facts do not exist in retrieved top-10 chunks.
GE-031,"Actually, I'm more worried about the dress code. What should I wear to a tech startup?",False,False,0.0,0.0,0,CORPUS_GAP,Required facts do not exist in retrieved top-10 chunks.
GE-033,I'm thinking of leaving my bank job to start a business. How do I resign properly?,False,False,0.0,0.0,0,CORPUS_GAP,Required facts do not exist in retrieved top-10 chunks.
GE-034,What's the HELB repayment process once I start working?,False,False,0.0,0.0,0,CORPUS_GAP,Required facts do not exist in retrieved top-10 chunks.
GE-035,My employer wants me to work on public holidays without extra pay. Is that allowed?,False,False,0.0,0.0,0,CORPUS_GAP,Required facts do not exist in retrieved top-10 chunks.
GE-036,I have a job interview at Safaricom next week. How should I prepare?,False,True,0.0,1.0,10,RANKING_FAILURE,"Complete answer chunk exists at rank #10, but top-3 omitted it."
GE-037,I want to negotiate my salary but I've never done it before. What do I actually say?,False,False,0.0,0.0,0,CORPUS_GAP,Required facts do not exist in retrieved top-10 chunks.
GE-039,My contract ends in 2 weeks and I haven't been told if it will be renewed. What should I do?,False,False,0.0,0.0,0,CORPUS_GAP,Required facts do not exist in retrieved top-10 chunks.
