query_id,question,baseline_chunk_ids,candidate_chunk_ids,baseline_answer_rank,candidate_answer_rank,baseline_fact_recall,candidate_fact_recall,fact_recall_diff,baseline_complete_answer,candidate_complete_answer,baseline_mrr,candidate_mrr,mrr_diff,query_expansion_triggered,failure_classification
GE-001,How long is the probation period legally capped at in Kenya?,bridge_ai_career_handbook_expanded.md_c67_s1100;bridge_ai_career_handbook_expanded.md_c69_s1100;hidden_curriculum_kenya.md_c1_s1100,bridge_ai_career_handbook_expanded.md_c49_s1500;hidden_curriculum_kenya.md_c1_s1500;bridge_ai_career_handbook_expanded.md_c50_s1500,1,1,0.3333,0.6667,0.3334,0,0,1.0,1.0,0.0,0,Chunk Boundary / Context Truncation (facts split across chunks)
GE-002,What are the statutory deductions on a Kenyan payslip?,first_salary_financial_literacy.md_c1_s1100;first_salary_financial_literacy.md_c2_s1100;Employment Act.pdf_c70_s1100,first_salary_financial_literacy.md_c1_s1500;Employment Act.pdf_c51_s1500;Employment Act.pdf_c50_s1500,1,1,1.0,1.0,0.0,1,1,1.0,1.0,0.0,0,None (Full Grounding Success)
GE-003,Can my employer terminate me without notice during probation?,Employment Act.pdf_c94_s1100;Employment Act.pdf_c95_s1100;Employment Act.pdf_c86_s1100,Employment Act.pdf_c69_s1500;Employment Act.pdf_c74_s1500;Employment Act.pdf_c76_s1500,3,3,1.0,1.0,0.0,1,1,1.0,1.0,0.0,0,None (Full Grounding Success)
GE-004,What is the minimum wage in Kenya for someone working in Nairobi?,kenya_minimum_wage_gazette_guide.md_c1_s1100;kenya_minimum_wage_gazette_guide.md_c2_s1100;kenya_minimum_wage_gazette_guide.md_c3_s1100,kenya_minimum_wage_gazette_guide.md_c1_s1500;kenya_minimum_wage_gazette_guide.md_c4_s1500;kenya_minimum_wage_gazette_guide.md_c2_s1500,1,1,0.6667,0.6667,0.0,0,0,1.0,1.0,0.0,1,Chunk Boundary / Context Truncation (facts split across chunks)
GE-005,What rights do I have if my employer hasn't given me a written contract after 3 months?,Employment Act.pdf_c46_s1100;bridge_ai_career_handbook_expanded.md_c67_s1100;Employment Act.pdf_c51_s1100,Employment Act.pdf_c36_s1500;Employment Act.pdf_c37_s1500;Employment Act.pdf_c41_s1500,2,0,1.0,0.6667,-0.3333,1,0,0.5,1.0,0.5,1,Chunk Boundary / Context Truncation (facts split across chunks)
GE-006,Is it true that an employer in Kenya can dock my pay for being late?,Employment Act.pdf_c64_s1100;Employment Act.pdf_c34_s1100;Employment Act.pdf_c67_s1100,Employment Act.pdf_c50_s1500;Employment Act.pdf_c48_s1500;Employment Act.pdf_c51_s1500,1,1,0.3333,0.3333,0.0,0,0,1.0,1.0,0.0,1,Missing Corpus Evidence / Unretrieved Document
GE-007,What is the maximum number of working hours per week in Kenya?,kenya_minimum_wage_gazette_guide.md_c1_s1100;Employment Act.pdf_c34_s1100;Employment Act.pdf_c109_s1100,Employment Act.pdf_c96_s1500;Employment Act.pdf_c1_s1500;Employment Act.pdf_c56_s1500,0,0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,1,Chunk Boundary / Context Truncation (facts split across chunks)
GE-008,What leave entitlements do I have in my first year of employment?,Employment Act.pdf_c77_s1100;Employment Act.pdf_c76_s1100;Employment Act.pdf_c80_s1100,Employment Act.pdf_c57_s1500;Employment Act.pdf_c58_s1500;Employment Act.pdf_c60_s1500,0,0,0.6667,1.0,0.3333,0,1,1.0,1.0,0.0,1,None (Full Grounding Success)
GE-009,What should I check before signing an employment contract?,hidden_curriculum_kenya.md_c10_s1100;Employment Act.pdf_c47_s1100;Employment Act.pdf_c46_s1100,Employment Act.pdf_c36_s1500;hidden_curriculum_kenya.md_c7_s1500;job_scam_red_flags.md_c1_s1500,0,0,0.3333,0.3333,0.0,0,0,1.0,1.0,0.0,0,Missing Corpus Evidence / Unretrieved Document
GE-010,Tell me about the rules around being let go from work in Kenya,Employment Act.pdf_c64_s1100;Employment Act.pdf_c93_s1100;Employment Act.pdf_c107_s1100,Employment Act.pdf_c68_s1500;Employment Act.pdf_c74_s1500;Employment Act.pdf_c73_s1500,0,0,0.3333,0.6667,0.3334,0,0,1.0,1.0,0.0,0,Chunk Boundary / Context Truncation (facts split across chunks)
