query_id,config,question,recall_at_1,recall_at_3,recall_at_5,precision_at_3,precision_at_5,mrr,facts_required,facts_found,fact_recall,complete_answer,answer_bearing_rate,semantic_only_match_rate,context_tokens,context_chars,embedding_latency_ms,db_latency_ms,total_latency_ms
GE-001,exp_chunks_500_75,How long is the probation period legally capped at in Kenya?,0.4,0.4,0.4,1.0,1.0,1.0,3,1,0.3333,0,0.0,1.0,375,1500,1182.91,1327.3,2510.22
GE-002,exp_chunks_500_75,What are the statutory deductions on a Kenyan payslip?,0.8333,0.8333,0.8333,1.0,1.0,1.0,4,3,0.75,0,1.0,0.0,374,1498,521.5,15.04,536.54
GE-003,exp_chunks_500_75,Can my employer terminate me without notice during probation?,0.8,0.8,0.8,0.6667,0.8,1.0,3,3,1.0,1,0.6667,0.3333,278,1113,553.19,9.64,562.83
GE-004,exp_chunks_500_75,What is the minimum wage in Kenya for someone working in Nairobi?,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0,0.0,0.0,374,1499,526.11,10.39,536.5
GE-005,exp_chunks_500_75,What rights do I have if my employer hasn't given me a written contract after 3 months?,0.0,0.5,0.5,0.3333,0.6,0.3333,3,0,0.0,0,0.0,0.6667,278,1114,519.47,16.15,535.63
GE-006,exp_chunks_500_75,Is it true that an employer in Kenya can dock my pay for being late?,0.4,0.6,0.6,0.6667,0.6,1.0,3,1,0.3333,0,0.3333,0.3333,375,1500,523.43,26.55,550.16
GE-007,exp_chunks_500_75,What is the maximum number of working hours per week in Kenya?,0.0,0.4,0.4,0.3333,0.2,0.5,3,1,0.3333,0,0.0,1.0,374,1499,544.9,7.49,552.4
GE-008,exp_chunks_500_75,What leave entitlements do I have in my first year of employment?,0.4,0.4,0.4,1.0,1.0,1.0,3,1,0.3333,0,1.0,0.0,374,1499,523.53,5.9,529.43
GE-009,exp_chunks_500_75,What should I check before signing an employment contract?,0.2,0.6,0.6,0.6667,0.6,1.0,3,0,0.0,0,0.0,0.6667,277,1111,532.16,5.72,537.88
GE-010,exp_chunks_500_75,Tell me about the rules around being let go from work in Kenya,0.2,0.4,0.4,1.0,0.8,1.0,3,0,0.0,0,0.0,1.0,374,1498,527.74,5.69,533.43
GE-011,exp_chunks_500_75,What does Section 42 of the Employment Act say?,0.0,0.25,0.25,0.3333,0.4,0.3333,3,0,0.0,0,0.0,1.0,374,1499,540.49,9.02,549.52
GE-012,exp_chunks_500_75,How do I write a good CV for a bank job in Kenya?,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0,0.0,0.0,375,1500,507.28,8.12,515.4
GE-013,exp_chunks_500_75,What government programs help young people find jobs in Kenya?,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0,0.0,0.0,370,1480,553.38,31.42,584.8
GE-014,exp_chunks_500_75,What are common signs that a job might not be real?,0.2,0.2,0.2,0.6667,0.8,1.0,3,2,0.6667,0,0.6667,0.3333,374,1499,687.5,6.89,694.4
GE-015,exp_chunks_500_75,"A recruiter asked me to send KES 3,000 via M-Pesa for a training kit before I start. Is this normal?",0.2,0.2,0.2,0.3333,0.2,1.0,3,0,0.0,0,0.0,0.3333,375,1500,619.72,18.05,637.78
GE-016,exp_chunks_500_75,"I found a data entry job paying KES 120,000 per month with no experience needed. Should I apply?",0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0,0.0,0.0,374,1499,772.74,33.75,806.5
GE-017,exp_chunks_500_75,My employer hasn't paid me for 2 months. Can I take them to court?,0.0,0.0,0.25,0.0,0.2,0.2,2,0,0.0,0,0.0,1.0,374,1499,538.63,18.05,556.69
GE-018,exp_chunks_500_75,My boss keeps making comments about my appearance. What should I do?,0.2,0.4,0.4,0.6667,0.6,1.0,2,0,0.0,0,0.0,0.6667,374,1498,505.98,17.39,523.38
GE-019,exp_chunks_500_75,Is it safe to share my national ID copy with a recruiter I found on Facebook?,0.2,0.2,0.2,0.3333,0.2,1.0,2,0,0.0,0,0.0,0.3333,374,1498,559.64,11.68,571.32
GE-020,exp_chunks_500_75,"A company wants me to buy products worth KES 5,000 and resell them to friends to earn commission. Is this a real job?",0.0,0.2,0.2,0.3333,0.2,0.3333,2,0,0.0,0,0.0,0.3333,374,1499,498.29,8.07,506.36
GE-027,exp_chunks_500_75,What happens if I refuse the extension?,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0,0.0,0.0,278,1113,573.19,5.01,578.21
