query_id,question,trigger_fired,triggers_list,baseline_complete_answer,always_complete_answer,adaptive_complete_answer,baseline_fact_recall,always_fact_recall,adaptive_fact_recall,baseline_tokens,always_tokens,adaptive_tokens,neighbors_added
GE-001,How long is the probation period legally capped at in Kenya?,True,STATUTORY_LEGAL_SIGNAL|CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2,0,0,0,0.6667,0.6667,0.6667,1124,2249,2249,3
GE-002,What are the statutory deductions on a Kenyan payslip?,True,STATUTORY_LEGAL_SIGNAL|MULTI_FACT_QUERY_SIGNAL|CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,1,1,1,1.0,1.0,1.0,1124,2249,2249,3
GE-003,Can my employer terminate me without notice during probation?,True,STATUTORY_LEGAL_SIGNAL|CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,1,1,1,1.0,1.0,1.0,1125,3000,3000,5
GE-004,What is the minimum wage in Kenya for someone working in Nairobi?,True,STATUTORY_LEGAL_SIGNAL|CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.6667,0.6667,0.6667,806,1181,1181,1
GE-005,What rights do I have if my employer hasn't given me a written contract after 3 months?,True,STATUTORY_LEGAL_SIGNAL|CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.6667,0.6667,0.6667,1124,2624,2624,4
GE-006,Is it true that an employer in Kenya can dock my pay for being late?,True,STATUTORY_LEGAL_SIGNAL|CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.3333,0.6667,0.6667,1124,2249,2249,3
GE-007,What is the maximum number of working hours per week in Kenya?,True,STATUTORY_LEGAL_SIGNAL|CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.0,0.3333,0.3333,1125,2999,2999,5
GE-008,What leave entitlements do I have in my first year of employment?,True,STATUTORY_LEGAL_SIGNAL|MULTI_FACT_QUERY_SIGNAL|CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,1,1,1,1.0,1.0,1.0,1124,2249,2249,3
GE-009,What should I check before signing an employment contract?,True,STATUTORY_LEGAL_SIGNAL|CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.3333,0.3333,0.3333,1059,2559,2559,4
GE-010,Tell me about the rules around being let go from work in Kenya,True,MULTI_FACT_QUERY_SIGNAL|CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,1,1,0.6667,1.0,1.0,1125,2624,2624,4
GE-011,What does Section 42 of the Employment Act say?,True,STATUTORY_LEGAL_SIGNAL|CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.0,0.3333,0.3333,1125,2624,2624,4
GE-012,How do I write a good CV for a bank job in Kenya?,True,CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.0,0.0,0.0,1124,2624,2624,4
GE-013,What government programs help young people find jobs in Kenya?,True,CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.0,0.3333,0.3333,957,2457,2457,4
GE-014,What are common signs that a job might not be real?,True,CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2,1,1,1,1.0,1.0,1.0,1037,1412,1412,1
